Frame,Sub Frame,"Position - max4",,,"Rotation (Helical) - max4",,
,,"TX","TY","TZ","RX","RY","RZ"
Frames,Frames,"mm","mm","mm","°","°","°"
1,0,"-96.1275","-353.628","989.772","-12.6374","12.0753","-3.75347"
2,0,"-96.1393","-353.635","989.777","-12.6603","12.01","-3.72514"
3,0,"-96.0721","-353.699","989.731","-12.6414","12.0221","-3.71947"
4,0,"-96.0434","-353.761","989.69","-12.6201","12.0438","-3.72565"
5,0,"-96.0505","-353.785","989.688","-12.6214","12.0063","-3.71247"
6,0,"-96.0106","-353.862","989.63","-12.5831","12.0531","-3.731"
7,0,"-96.0641","-353.881","989.626","-12.5773","12.0409","-3.73936"
8,0,"-96.1375","-353.881","989.625","-12.5773","12.0081","-3.73963"
9,0,"-96.1898","-353.866","989.594","-12.5943","11.9293","-3.7142"
10,0,"-96.2229","-353.886","989.535","-12.5648","11.955","-3.73182"
11,0,"-96.302","-353.865","989.5","-12.5696","11.9053","-3.7214"
12,0,"-96.4024","-353.814","989.473","-12.5888","11.8261","-3.70058"
13,0,"-96.3467","-353.863","989.339","-12.5368","11.8923","-3.72333"
14,0,"-96.4349","-353.807","989.296","-12.5551","11.8245","-3.71023"
15,0,"-96.4754","-353.771","989.214","-12.5553","11.7974","-3.70891"
16,0,"-96.4293","-353.759","989.092","-12.5381","11.7995","-3.70772"
17,0,"-96.4572","-353.724","989.017","-12.5287","11.7924","-3.71616"
18,0,"-96.4698","-353.694","988.919","-12.5178","11.7843","-3.71829"
19,0,"-96.4968","-353.64","988.843","-12.5166","11.7508","-3.71217"
20,0,"-96.5138","-353.605","988.752","-12.4933","11.7676","-3.72669"
21,0,"-96.4987","-353.589","988.634","-12.4537","11.821","-3.75073"
22,0,"-96.5382","-353.525","988.541","-12.4672","11.7423","-3.72116"
23,0,"-96.5623","-353.491","988.447","-12.4393","11.7756","-3.74485"
24,0,"-96.6707","-353.381","988.395","-12.4755","11.6542","-3.71036"
25,0,"-96.6584","-353.342","988.272","-12.4555","11.6504","-3.71414"
26,0,"-96.6697","-353.287","988.16","-12.4579","11.581","-3.69068"
27,0,"-96.5901","-353.322","987.984","-12.3823","11.6836","-3.73309"
28,0,"-96.5815","-353.286","987.863","-12.3633","11.6627","-3.73162"
29,0,"-96.631","-353.176","987.798","-12.4041","11.5091","-3.67747"
30,0,"-96.6665","-353.131","987.723","-12.385","11.4989","-3.68706"
