Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (661)",,,"Reconstruction Position - Unlabeled Track (685)",,,"Reconstruction Position - Unlabeled Track (687)",,,"Reconstruction Position - Unlabeled Track (698)",,,"Reconstruction Position - Unlabeled Track (699)",,,"Reconstruction Position - Unlabeled Track (701)",,,"Reconstruction Position - Unlabeled Track (702)",,,"Reconstruction Position - Unlabeled Track (703)",,,"Reconstruction Position - Unlabeled Track (704)",,,"Reconstruction Position - Unlabeled Track (707)",,,"Reconstruction Position - Unlabeled Track (708)",,,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (710)",,,"Reconstruction Position - Unlabeled Track (711)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"-1096.3","-603.259","1502.68","-1193.46","-766.181","1238.21","-1205.68","-675.051","1047.17","-1241.47","-470.949","591.371","-1270.42","-504.034","189.579","-1478.23","-869.764","260.151","-1248.92","-708.435","557.969","-1117.03","-813.357","987.177","-1114.71","-416.941","1291.96","-1159.76","-203.993","1643.29","-1321.52","-259.5","846.383","-1291.36","-219.102","1411.24","nan","nan","nan","nan","nan","nan"
2,0,"-1095.72","-602.869","1502.3","-1192.56","-766.445","1238.15","-1205.83","-675.362","1047.22","-1241.76","-471.239","591.301","-1270.46","-504.051","189.686","-1478.11","-870.013","260.088","-1248.99","-708.4","557.947","-1116.74","-813.319","986.926","-1115.05","-417.032","1291.41","-1159.61","-203.678","1642.8","-1325.24","-259.907","846.05","-1291.53","-219.13","1410.81","nan","nan","nan","nan","nan","nan"
3,0,"-1095.15","-602.463","1501.89","-1191.73","-766.664","1238.07","-1205.98","-675.669","1047.28","-1242.71","-471.586","590.778","-1270.46","-504.071","189.76","-1477.8","-870.409","259.839","-1249.04","-708.369","557.923","-1116.45","-813.159","986.68","-1115.36","-417.071","1290.84","-1159.42","-203.349","1642.25","-1328.72","-260.263","845.669","-1291.71","-219.136","1410.45","nan","nan","nan","nan","nan","nan"
4,0,"-1094.6","-602.083","1501.5","-1190.94","-766.824","1237.93","-1206.05","-675.98","1047.3","-1241.65","-471.788","591.443","-1270.51","-504.262","189.727","-1477.75","-870.599","259.843","-1249.04","-708.337","557.822","-1116.11","-813.022","986.44","-1115.67","-417.114","1290.29","-1159.2","-203.03","1641.67","-1332.09","-260.685","845.396","-1291.85","-219.145","1410.02","nan","nan","nan","nan","nan","nan"
5,0,"-1094","-601.685","1501.05","-1190.17","-766.925","1237.75","-1206.15","-676.235","1047.28","-1241.71","-472.035","591.541","-1270.5","-504.316","189.698","-1477.64","-870.825","259.843","-1248.98","-708.372","557.817","-1115.77","-812.827","986.109","-1115.98","-417.207","1289.73","-1158.99","-202.656","1641.06","-1335.17","-261.043","844.95","-1291.93","-219.158","1409.55","nan","nan","nan","nan","nan","nan"
6,0,"-1093.39","-601.256","1500.55","-1189.42","-766.98","1237.55","-1206.22","-676.457","1047.24","-1241.74","-472.258","591.577","-1270.51","-504.356","189.711","-1477.54","-870.972","259.855","-1248.82","-708.336","557.646","-1115.39","-812.71","985.727","-1116.3","-417.258","1289.11","-1158.76","-202.308","1640.43","-1338.03","-261.331","844.512","-1292","-219.148","1409.12","nan","nan","nan","nan","nan","nan"
7,0,"-1092.81","-600.839","1500.05","-1188.66","-766.999","1237.3","-1206.26","-676.768","1047.18","-1241.83","-472.527","591.636","-1270.54","-504.384","189.703","-1477.27","-871.233","259.759","-1248.69","-708.353","557.603","-1115.08","-812.652","985.401","-1116.63","-417.328","1288.53","-1158.53","-201.928","1639.81","-1340.74","-261.564","844.146","-1292.08","-219.134","1408.69","nan","nan","nan","nan","nan","nan"
8,0,"-1092.2","-600.447","1499.53","-1187.9","-766.872","1236.91","-1206.34","-677.037","1047.16","-1241.99","-472.745","591.756","-1270.57","-504.41","189.703","-1477.19","-871.317","259.8","-1248.47","-708.427","557.544","-1114.73","-812.638","985.024","-1116.98","-417.415","1287.95","-1158.26","-201.541","1639.18","-1343.22","-261.769","843.957","-1292.09","-219.143","1408.21","nan","nan","nan","nan","nan","nan"
9,0,"-1091.62","-600.074","1498.98","-1187.16","-766.817","1236.55","-1206.39","-677.281","1047.12","-1242.2","-472.965","591.879","-1270.62","-504.417","189.677","-1476.99","-871.465","259.735","-1248.23","-708.487","557.467","-1114.33","-812.59","984.56","-1117.32","-417.512","1287.35","-1157.99","-201.168","1638.52","-1345.45","-261.959","843.425","-1292.13","-219.128","1407.79","nan","nan","nan","nan","nan","nan"
10,0,"-1091.05","-599.701","1498.44","-1186.44","-766.749","1236.17","-1206.43","-677.499","1047.09","-1242.41","-473.195","591.922","-1270.72","-504.432","189.744","-1476.71","-871.605","259.632","-1247.93","-708.519","557.259","-1113.95","-812.384","984.024","-1117.67","-417.603","1286.84","-1157.74","-200.796","1637.9","-1347.47","-261.96","843.218","-1292.15","-219.145","1407.36","nan","nan","nan","nan","nan","nan"
