Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (350)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1198.33","-61.7632","1207.58"
2,0,"1198.34","-61.7838","1207.58"
3,0,"1198.35","-61.8092","1207.56"
4,0,"1198.36","-61.8395","1207.56"
5,0,"1198.37","-61.8626","1207.54"
6,0,"1198.38","-61.8888","1207.53"
7,0,"1198.38","-61.9197","1207.52"
8,0,"1198.39","-61.9413","1207.5"
9,0,"1198.4","-61.9679","1207.5"
10,0,"1198.4","-61.9947","1207.5"
11,0,"1198.4","-62.0197","1207.49"
12,0,"1198.4","-62.0453","1207.49"
13,0,"1198.4","-62.0672","1207.49"
14,0,"1198.42","-62.0917","1207.48"
15,0,"1198.43","-62.12","1207.48"
16,0,"1198.44","-62.1479","1207.47"
17,0,"1198.46","-62.1735","1207.47"
18,0,"1198.47","-62.1961","1207.46"
19,0,"1198.48","-62.2221","1207.45"
20,0,"1198.49","-62.2438","1207.44"
21,0,"1198.51","-62.263","1207.44"
22,0,"1198.52","-62.289","1207.43"
23,0,"1198.53","-62.3027","1207.42"
24,0,"1198.55","-62.32","1207.42"
25,0,"1198.56","-62.3488","1207.43"
26,0,"1198.57","-62.3706","1207.42"
27,0,"1198.58","-62.395","1207.43"
28,0,"1198.6","-62.4197","1207.43"
29,0,"1198.61","-62.4496","1207.42"
30,0,"1198.62","-62.4622","1207.42"
31,0,"1198.65","-62.4838","1207.41"
32,0,"1198.67","-62.5033","1207.39"
33,0,"1198.7","-62.5121","1207.38"
34,0,"1198.73","-62.5318","1207.37"
35,0,"1198.74","-62.5444","1207.36"
36,0,"1198.76","-62.5592","1207.35"
37,0,"1198.78","-62.5645","1207.34"
38,0,"1198.8","-62.5755","1207.34"
39,0,"1198.83","-62.5819","1207.35"
40,0,"1198.86","-62.588","1207.35"
41,0,"1198.88","-62.5997","1207.35"
42,0,"1198.91","-62.6077","1207.35"
43,0,"1198.93","-62.6076","1207.34"
44,0,"1198.95","-62.5942","1207.32"
45,0,"1198.96","-62.5678","1207.3"
46,0,"1198.98","-62.557","1207.3"
47,0,"1198.99","-62.5408","1207.3"
48,0,"1198.99","-62.5239","1207.29"
49,0,"1199","-62.4971","1207.28"
50,0,"1199","-62.4642","1207.28"
51,0,"1199","-62.4356","1207.28"
52,0,"1199","-62.4035","1207.27"
53,0,"1199","-62.376","1207.26"
54,0,"1199.01","-62.3394","1207.26"
55,0,"1199","-62.3009","1207.24"
56,0,"1199.01","-62.2579","1207.22"
57,0,"1199.01","-62.2168","1207.21"
58,0,"1199.01","-62.1738","1207.2"
59,0,"1199.01","-62.1275","1207.2"
60,0,"1199.01","-62.0841","1207.2"
61,0,"1199","-62.0299","1207.2"
62,0,"1199","-61.9731","1207.19"
63,0,"1199","-61.9219","1207.2"
64,0,"1198.99","-61.862","1207.2"
65,0,"1198.98","-61.8048","1207.2"
66,0,"1198.98","-61.7428","1207.19"
67,0,"1198.96","-61.677","1207.19"
68,0,"1198.96","-61.6133","1207.19"
69,0,"1198.95","-61.5465","1207.17"
70,0,"1198.95","-61.478","1207.17"
71,0,"1198.95","-61.3923","1207.15"
72,0,"1198.95","-61.3074","1207.15"
73,0,"1198.95","-61.218","1207.14"
74,0,"1198.95","-61.1245","1207.14"
75,0,"1198.93","-61.0365","1207.14"
76,0,"1198.93","-60.9528","1207.15"
77,0,"1198.91","-60.8652","1207.16"
78,0,"1198.9","-60.78","1207.17"
79,0,"1198.89","-60.7002","1207.19"
80,0,"1198.88","-60.6092","1207.2"
81,0,"1198.88","-60.5277","1207.2"
82,0,"1198.87","-60.4452","1207.21"
83,0,"1198.87","-60.3542","1207.21"
84,0,"1198.86","-60.2525","1207.2"
85,0,"1198.86","-60.1458","1207.18"
86,0,"1198.86","-60.0391","1207.18"
87,0,"1198.87","-59.9466","1207.16"
88,0,"1198.88","-59.8574","1207.16"
89,0,"1198.88","-59.7619","1207.15"
90,0,"1198.88","-59.6686","1207.14"
91,0,"1198.88","-59.5754","1207.12"
92,0,"1198.87","-59.4826","1207.11"
93,0,"1198.85","-59.3944","1207.09"
94,0,"1198.85","-59.3143","1207.08"
95,0,"1198.84","-59.2247","1207.08"
96,0,"1198.83","-59.1422","1207.07"
97,0,"1198.82","-59.0686","1207.07"
98,0,"1198.82","-59.0031","1207.06"
99,0,"1198.81","-58.935","1207.07"
100,0,"1198.79","-58.8796","1207.08"
101,0,"1198.78","-58.8207","1207.08"
102,0,"1198.77","-58.7694","1207.09"
103,0,"1198.75","-58.724","1207.09"
104,0,"1198.74","-58.6749","1207.1"
105,0,"1198.72","-58.6283","1207.1"
106,0,"1198.7","-58.5908","1207.11"
107,0,"1198.68","-58.5558","1207.12"
108,0,"1198.66","-58.5239","1207.13"
109,0,"1198.64","-58.4896","1207.14"
110,0,"1198.62","-58.4584","1207.16"
111,0,"1198.58","-58.4315","1207.18"
112,0,"1198.54","-58.4098","1207.21"
113,0,"1198.49","-58.3892","1207.23"
114,0,"1198.43","-58.3674","1207.25"
115,0,"1198.33","-58.3604","1207.28"
116,0,"1198.25","-58.3497","1207.3"
117,0,"1198.12","-58.3501","1207.31"
118,0,"1198.01","-58.3389","1207.31"
119,0,"1197.9","-58.3385","1207.33"
120,0,"1197.76","-58.3368","1207.34"
121,0,"1197.62","-58.3358","1207.37"
122,0,"1197.45","-58.3368","1207.4"
123,0,"1197.28","-58.3337","1207.45"
124,0,"1197.09","-58.3338","1207.49"
125,0,"1196.87","-58.3296","1207.54"
126,0,"1196.65","-58.3215","1207.59"
127,0,"1196.39","-58.329","1207.64"
128,0,"1196.09","-58.3287","1207.67"
129,0,"1195.75","-58.3291","1207.7"
130,0,"1195.42","-58.3312","1207.73"
131,0,"1195.07","-58.3388","1207.75"
132,0,"1194.7","-58.358","1207.78"
133,0,"1194.33","-58.3572","1207.79"
