Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (395)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1201.19","-59.0014","1582.31"
2,0,"1201.18","-58.9623","1582.35"
3,0,"1201.17","-58.9237","1582.39"
4,0,"1201.17","-58.8889","1582.43"
5,0,"1201.18","-58.8524","1582.46"
6,0,"1201.18","-58.8243","1582.49"
7,0,"1201.19","-58.8131","1582.52"
8,0,"1201.19","-58.8037","1582.54"
9,0,"1201.2","-58.7974","1582.55"
10,0,"1201.2","-58.799","1582.57"
11,0,"1201.21","-58.8045","1582.58"
12,0,"1201.21","-58.814","1582.59"
13,0,"1201.22","-58.8353","1582.6"
14,0,"1201.23","-58.8587","1582.6"
15,0,"1201.24","-58.8923","1582.6"
16,0,"1201.26","-58.9339","1582.6"
17,0,"1201.29","-58.9784","1582.6"
18,0,"1201.32","-59.0225","1582.6"
19,0,"1201.34","-59.0687","1582.59"
20,0,"1201.37","-59.1149","1582.58"
21,0,"1201.41","-59.1655","1582.58"
22,0,"1201.45","-59.2229","1582.57"
23,0,"1201.49","-59.2804","1582.56"
24,0,"1201.53","-59.3378","1582.54"
25,0,"1201.57","-59.3995","1582.53"
26,0,"1201.62","-59.4602","1582.53"
27,0,"1201.67","-59.5216","1582.52"
28,0,"1201.71","-59.5884","1582.5"
29,0,"1201.76","-59.6457","1582.49"
30,0,"1201.81","-59.7077","1582.48"
31,0,"1201.87","-59.768","1582.46"
32,0,"1201.92","-59.8261","1582.44"
33,0,"1201.96","-59.8835","1582.42"
34,0,"1202.01","-59.9415","1582.39"
35,0,"1202.06","-59.9991","1582.37"
36,0,"1202.1","-60.0576","1582.35"
37,0,"1202.14","-60.1132","1582.34"
38,0,"1202.18","-60.1663","1582.32"
39,0,"1202.22","-60.2172","1582.3"
40,0,"1202.26","-60.2607","1582.29"
41,0,"1202.29","-60.3088","1582.27"
42,0,"1202.33","-60.36","1582.25"
43,0,"1202.36","-60.3991","1582.22"
44,0,"1202.39","-60.4405","1582.19"
45,0,"1202.41","-60.4734","1582.17"
46,0,"1202.44","-60.5034","1582.15"
47,0,"1202.46","-60.5272","1582.13"
48,0,"1202.49","-60.5461","1582.11"
49,0,"1202.51","-60.5589","1582.09"
50,0,"1202.52","-60.5713","1582.07"
51,0,"1202.55","-60.5802","1582.06"
52,0,"1202.57","-60.5843","1582.05"
53,0,"1202.6","-60.5802","1582.04"
54,0,"1202.62","-60.5786","1582.04"
55,0,"1202.63","-60.5671","1582.03"
56,0,"1202.65","-60.547","1582.03"
57,0,"1202.66","-60.5291","1582.02"
58,0,"1202.66","-60.5065","1582.01"
59,0,"1202.67","-60.4787","1582"
60,0,"1202.69","-60.4484","1582"
61,0,"1202.7","-60.415","1581.99"
62,0,"1202.7","-60.3795","1581.99"
63,0,"1202.71","-60.3426","1581.99"
64,0,"1202.72","-60.2954","1581.99"
65,0,"1202.71","-60.2484","1581.98"
66,0,"1202.71","-60.2021","1581.98"
67,0,"1202.7","-60.151","1581.97"
68,0,"1202.68","-60.0876","1581.96"
69,0,"1202.67","-60.026","1581.95"
70,0,"1202.64","-59.9603","1581.93"
71,0,"1202.62","-59.8883","1581.93"
72,0,"1202.59","-59.817","1581.91"
73,0,"1202.56","-59.7388","1581.9"
74,0,"1202.54","-59.6551","1581.89"
75,0,"1202.51","-59.5697","1581.88"
76,0,"1202.48","-59.4804","1581.88"
77,0,"1202.45","-59.394","1581.87"
78,0,"1202.43","-59.305","1581.87"
79,0,"1202.4","-59.21","1581.88"
80,0,"1202.37","-59.1074","1581.88"
81,0,"1202.35","-59.0068","1581.88"
82,0,"1202.33","-58.8984","1581.87"
83,0,"1202.31","-58.7866","1581.86"
84,0,"1202.29","-58.6672","1581.86"
85,0,"1202.27","-58.5488","1581.87"
86,0,"1202.26","-58.4234","1581.88"
87,0,"1202.25","-58.2986","1581.89"
88,0,"1202.23","-58.1697","1581.91"
89,0,"1202.2","-58.0355","1581.94"
90,0,"1202.18","-57.9041","1581.96"
91,0,"1202.16","-57.7796","1581.99"
92,0,"1202.13","-57.6537","1582.02"
93,0,"1202.11","-57.5322","1582.05"
94,0,"1202.09","-57.416","1582.08"
95,0,"1202.07","-57.2945","1582.11"
96,0,"1202.06","-57.179","1582.15"
97,0,"1202.05","-57.0738","1582.18"
98,0,"1202.04","-56.9651","1582.21"
99,0,"1202.04","-56.8598","1582.24"
100,0,"1202.03","-56.7616","1582.25"
101,0,"1202.01","-56.6684","1582.26"
102,0,"1202.01","-56.573","1582.27"
103,0,"1201.99","-56.4846","1582.28"
104,0,"1201.98","-56.3994","1582.29"
105,0,"1201.96","-56.3248","1582.29"
106,0,"1201.94","-56.2475","1582.29"
107,0,"1201.93","-56.1728","1582.29"
108,0,"1201.91","-56.0958","1582.29"
109,0,"1201.89","-56.0291","1582.29"
110,0,"1201.87","-55.9573","1582.29"
111,0,"1201.85","-55.8862","1582.3"
112,0,"1201.82","-55.8206","1582.31"
113,0,"1201.78","-55.7468","1582.32"
114,0,"1201.75","-55.6768","1582.34"
115,0,"1201.7","-55.6075","1582.36"
116,0,"1201.65","-55.5411","1582.37"
117,0,"1201.61","-55.4769","1582.4"
118,0,"1201.57","-55.4148","1582.42"
119,0,"1201.53","-55.3597","1582.44"
120,0,"1201.49","-55.306","1582.47"
121,0,"1201.43","-55.2529","1582.51"
122,0,"1201.36","-55.2005","1582.54"
123,0,"1201.28","-55.1486","1582.57"
124,0,"1201.18","-55.103","1582.6"
125,0,"1201.07","-55.0537","1582.62"
126,0,"1200.94","-54.9976","1582.65"
127,0,"1200.79","-54.9528","1582.68"
128,0,"1200.61","-54.9037","1582.7"
129,0,"1200.42","-54.8555","1582.73"
130,0,"1200.2","-54.8107","1582.76"
131,0,"1199.95","-54.766","1582.8"
132,0,"1199.68","-54.7299","1582.84"
133,0,"1199.37","-54.7007","1582.87"
