Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (444)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1409.71","123.252","966.717"
2,0,"1409.69","123.247","966.717"
3,0,"1409.68","123.231","966.716"
4,0,"1409.65","123.206","966.708"
5,0,"1409.64","123.195","966.68"
6,0,"1409.62","123.169","966.672"
7,0,"1409.56","123.151","966.663"
8,0,"1409.54","123.138","966.653"
9,0,"1409.49","123.149","966.631"
10,0,"1409.45","123.152","966.625"
11,0,"1409.42","123.17","966.61"
12,0,"1409.38","123.185","966.598"
13,0,"1409.35","123.183","966.586"
14,0,"1409.3","123.202","966.579"
15,0,"1409.25","123.203","966.558"
16,0,"1409.21","123.224","966.542"
17,0,"1409.17","123.221","966.512"
18,0,"1409.12","123.227","966.479"
19,0,"1409.06","123.249","966.455"
20,0,"1409.02","123.268","966.436"
21,0,"1408.94","123.28","966.428"
22,0,"1408.92","123.317","966.425"
23,0,"1408.87","123.335","966.414"
24,0,"1408.83","123.358","966.41"
25,0,"1408.79","123.374","966.401"
26,0,"1408.74","123.381","966.388"
27,0,"1408.7","123.395","966.385"
28,0,"1408.66","123.404","966.371"
29,0,"1408.62","123.42","966.344"
30,0,"1408.59","123.433","966.328"
31,0,"1408.57","123.468","966.315"
32,0,"1408.53","123.481","966.286"
33,0,"1408.5","123.5","966.274"
34,0,"1408.46","123.536","966.262"
35,0,"1408.44","123.547","966.263"
36,0,"1408.41","123.584","966.256"
37,0,"1408.39","123.59","966.253"
38,0,"1408.36","123.631","966.237"
39,0,"1408.32","123.654","966.21"
40,0,"1408.3","123.696","966.199"
41,0,"1408.26","123.721","966.177"
42,0,"1408.23","123.751","966.157"
43,0,"1408.19","123.765","966.123"
44,0,"1408.13","123.808","966.097"
45,0,"1408.07","123.851","966.075"
46,0,"1408.01","123.898","966.061"
47,0,"1407.98","123.944","966.061"
48,0,"1407.95","123.975","966.073"
49,0,"1407.9","124.026","966.074"
50,0,"1407.86","124.108","966.065"
51,0,"1407.82","124.173","966.038"
52,0,"1407.8","124.232","966.009"
53,0,"1407.78","124.281","965.995"
54,0,"1407.76","124.332","965.965"
55,0,"1407.74","124.38","965.966"
56,0,"1407.71","124.433","965.963"
57,0,"1407.69","124.475","965.968"
58,0,"1407.68","124.515","965.967"
59,0,"1407.67","124.565","965.972"
60,0,"1407.67","124.632","965.986"
61,0,"1407.68","124.688","965.974"
62,0,"1407.67","124.741","965.989"
63,0,"1407.68","124.803","965.993"
64,0,"1407.68","124.848","965.989"
65,0,"1407.7","124.902","966.001"
66,0,"1407.72","124.941","966.014"
67,0,"1407.74","124.971","966.009"
68,0,"1407.76","125.003","966.024"
69,0,"1407.77","125.032","966.012"
70,0,"1407.81","125.063","966.011"
71,0,"1407.85","125.107","966.007"
72,0,"1407.88","125.167","966.006"
73,0,"1407.92","125.211","966.005"
74,0,"1407.96","125.25","966.001"
75,0,"1407.99","125.279","966.007"
76,0,"1408.01","125.319","966.008"
77,0,"1408.02","125.362","966.02"
78,0,"1408.05","125.402","966.024"
79,0,"1408.06","125.454","966.024"
80,0,"1408.06","125.519","966.028"
81,0,"1408.07","125.563","966.021"
82,0,"1408.06","125.647","966.005"
83,0,"1408.07","125.716","965.993"
84,0,"1408.09","125.798","965.996"
85,0,"1408.1","125.856","965.98"
86,0,"1408.11","125.919","965.995"
87,0,"1408.14","125.998","965.992"
88,0,"1408.16","126.052","965.987"
89,0,"1408.18","126.143","965.993"
90,0,"1408.21","126.215","965.983"
91,0,"1408.23","126.292","965.97"
92,0,"1408.25","126.382","965.974"
93,0,"1408.27","126.466","965.971"
94,0,"1408.28","126.547","965.974"
95,0,"1408.3","126.649","965.987"
96,0,"1408.33","126.73","966.006"
97,0,"1408.33","126.828","966.022"
98,0,"1408.35","126.926","966.035"
99,0,"1408.37","127.017","966.058"
100,0,"1408.37","127.088","966.079"
101,0,"1408.39","127.15","966.099"
102,0,"1408.41","127.21","966.102"
103,0,"1408.42","127.275","966.1"
104,0,"1408.44","127.304","966.105"
105,0,"1408.46","127.333","966.097"
106,0,"1408.48","127.348","966.083"
107,0,"1408.5","127.342","966.061"
108,0,"1408.51","127.316","966.044"
109,0,"1408.52","127.267","966.036"
110,0,"1408.53","127.239","966.026"
111,0,"1408.52","127.185","966.012"
112,0,"1408.52","127.138","965.981"
113,0,"1408.49","127.077","965.965"
114,0,"1408.48","126.98","965.922"
115,0,"1408.47","126.887","965.882"
116,0,"1408.45","126.766","965.859"
117,0,"1408.41","126.638","965.825"
118,0,"1408.39","126.49","965.796"
119,0,"1408.36","126.341","965.762"
120,0,"1408.33","126.194","965.754"
121,0,"1408.31","125.956","965.755"
122,0,"1408.28","125.762","965.774"
123,0,"1408.26","125.543","965.789"
124,0,"1408.21","125.352","965.804"
125,0,"1408.13","125.139","965.819"
126,0,"1408.07","124.917","965.846"
127,0,"1408","124.696","965.874"
128,0,"1407.91","124.458","965.919"
129,0,"1407.83","124.245","965.975"
130,0,"1407.71","124.016","966.066"
131,0,"1407.62","123.779","966.158"
132,0,"1407.5","123.539","966.288"
133,0,"1407.36","123.287","966.41"
134,0,"1407.19","123.075","966.55"
135,0,"1407.03","122.903","966.697"
136,0,"1406.86","122.748","966.833"
137,0,"1406.7","122.562","966.956"
138,0,"1406.48","122.405","967.094"
139,0,"1406.29","122.278","967.232"
140,0,"1406.1","122.117","967.358"
141,0,"1405.9","121.981","967.482"
142,0,"1405.71","121.879","967.615"
143,0,"1405.47","121.737","967.743"
144,0,"1405.24","121.625","967.864"
145,0,"1404.99","121.524","967.986"
146,0,"1404.74","121.45","968.122"
147,0,"1404.46","121.398","968.241"
148,0,"1404.17","121.346","968.369"
149,0,"1403.85","121.337","968.503"
150,0,"1403.54","121.356","968.621"
151,0,"1403.2","121.4","968.725"
152,0,"1402.86","121.436","968.841"
153,0,"1402.51","121.518","968.96"
