Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (340)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1444.31","105.811","86.4525"
2,0,"1444.31","105.811","86.4492"
3,0,"1444.31","105.814","86.4528"
4,0,"1444.32","105.801","86.4484"
5,0,"1444.31","105.808","86.4585"
6,0,"1444.32","105.803","86.4671"
7,0,"1444.31","105.81","86.4619"
8,0,"1444.3","105.814","86.4643"
9,0,"1444.3","105.813","86.4515"
10,0,"1444.29","105.822","86.4561"
11,0,"1444.29","105.839","86.4535"
12,0,"1444.29","105.838","86.4642"
13,0,"1444.28","105.846","86.4803"
14,0,"1444.29","105.847","86.4802"
15,0,"1444.29","105.844","86.4977"
16,0,"1444.29","105.839","86.4962"
17,0,"1444.28","105.814","86.5089"
18,0,"1444.29","105.797","86.5259"
19,0,"1444.29","105.788","86.5337"
20,0,"1444.28","105.793","86.5308"
21,0,"1444.28","105.808","86.5404"
22,0,"1444.27","105.812","86.5451"
23,0,"1444.27","105.829","86.548"
24,0,"1444.27","105.821","86.5606"
25,0,"1444.26","105.816","86.5705"
26,0,"1444.26","105.811","86.5877"
27,0,"1444.25","105.812","86.5984"
28,0,"1444.24","105.802","86.6115"
29,0,"1444.23","105.792","86.618"
30,0,"1444.23","105.778","86.6168"
31,0,"1444.22","105.785","86.6167"
32,0,"1444.22","105.784","86.6154"
33,0,"1444.22","105.796","86.6245"
34,0,"1444.2","105.805","86.621"
35,0,"1444.19","105.81","86.6357"
36,0,"1444.18","105.819","86.6503"
37,0,"1444.17","105.807","86.6645"
38,0,"1444.16","105.809","86.6796"
39,0,"1444.16","105.815","86.7015"
40,0,"1444.15","105.812","86.7069"
41,0,"1444.15","105.806","86.7058"
42,0,"1444.15","105.811","86.6889"
43,0,"1444.14","105.8","86.6864"
44,0,"1444.14","105.8","86.6811"
45,0,"1444.13","105.79","86.7003"
46,0,"1444.13","105.78","86.7028"
47,0,"1444.12","105.776","86.7235"
48,0,"1444.12","105.781","86.7366"
49,0,"1444.12","105.777","86.7487"
50,0,"1444.11","105.781","86.7599"
51,0,"1444.12","105.806","86.7539"
52,0,"1444.12","105.797","86.7555"
53,0,"1444.12","105.789","86.7566"
54,0,"1444.12","105.783","86.7479"
55,0,"1444.12","105.774","86.7528"
56,0,"1444.11","105.771","86.7494"
57,0,"1444.11","105.755","86.7459"
58,0,"1444.1","105.763","86.7548"
59,0,"1444.11","105.767","86.7442"
60,0,"1444.11","105.771","86.7522"
61,0,"1444.11","105.777","86.7507"
62,0,"1444.11","105.793","86.7365"
63,0,"1444.13","105.785","86.7348"
64,0,"1444.12","105.782","86.7289"
65,0,"1444.13","105.784","86.7336"
66,0,"1444.14","105.788","86.7298"
67,0,"1444.14","105.765","86.7377"
68,0,"1444.14","105.771","86.7313"
69,0,"1444.14","105.78","86.7117"
70,0,"1444.15","105.779","86.7024"
71,0,"1444.15","105.794","86.6842"
72,0,"1444.14","105.818","86.6604"
73,0,"1444.15","105.835","86.6375"
74,0,"1444.17","105.831","86.6355"
75,0,"1444.17","105.842","86.6236"
76,0,"1444.17","105.833","86.6177"
77,0,"1444.19","105.844","86.6169"
78,0,"1444.19","105.839","86.606"
79,0,"1444.2","105.858","86.5946"
80,0,"1444.21","105.856","86.5758"
81,0,"1444.23","105.861","86.5463"
82,0,"1444.25","105.861","86.5176"
83,0,"1444.26","105.874","86.4925"
84,0,"1444.26","105.897","86.4435"
85,0,"1444.27","105.902","86.4248"
86,0,"1444.27","105.921","86.3883"
87,0,"1444.28","105.928","86.3686"
88,0,"1444.29","105.907","86.364"
89,0,"1444.3","105.887","86.3394"
90,0,"1444.31","105.873","86.3415"
91,0,"1444.32","105.853","86.3348"
92,0,"1444.32","105.829","86.3331"
93,0,"1444.34","105.801","86.3292"
94,0,"1444.34","105.763","86.3346"
95,0,"1444.35","105.77","86.3333"
96,0,"1444.35","105.746","86.3439"
97,0,"1444.35","105.72","86.3405"
98,0,"1444.35","105.704","86.3372"
99,0,"1444.35","105.681","86.3391"
100,0,"1444.35","105.672","86.3566"
101,0,"1444.34","105.667","86.3597"
102,0,"1444.34","105.658","86.372"
103,0,"1444.35","105.651","86.3653"
104,0,"1444.35","105.651","86.361"
105,0,"1444.35","105.654","86.3577"
106,0,"1444.35","105.659","86.3511"
107,0,"1444.36","105.661","86.3544"
108,0,"1444.35","105.652","86.3452"
109,0,"1444.35","105.675","86.3418"
110,0,"1444.35","105.678","86.3368"
111,0,"1444.35","105.684","86.3397"
112,0,"1444.35","105.697","86.3271"
113,0,"1444.34","105.728","86.3274"
114,0,"1444.34","105.74","86.3359"
115,0,"1444.34","105.747","86.3257"
116,0,"1444.34","105.745","86.3181"
117,0,"1444.34","105.759","86.3064"
118,0,"1444.34","105.762","86.2878"
119,0,"1444.33","105.779","86.2702"
120,0,"1444.34","105.777","86.2705"
121,0,"1444.34","105.796","86.2616"
122,0,"1444.36","105.812","86.255"
123,0,"1444.38","105.846","86.2382"
124,0,"1444.39","105.878","86.2191"
125,0,"1444.42","105.923","86.2105"
126,0,"1444.45","105.952","86.1821"
127,0,"1444.49","105.95","86.1675"
128,0,"1444.52","105.953","86.1617"
129,0,"1444.54","105.945","86.1427"
130,0,"1444.54","105.941","86.1564"
131,0,"1444.55","105.928","86.1536"
132,0,"1444.54","105.926","86.1604"
133,0,"1444.54","105.934","86.1821"
134,0,"1444.52","105.934","86.2029"
135,0,"1444.5","105.919","86.2488"
136,0,"1444.49","105.931","86.2769"
137,0,"1444.47","105.941","86.315"
138,0,"1444.46","105.922","86.3389"
139,0,"1444.45","105.907","86.3808"
140,0,"1444.44","105.892","86.4091"
141,0,"1444.42","105.871","86.4292"
142,0,"1444.4","105.86","86.4438"
143,0,"1444.38","105.862","86.4645"
144,0,"1444.35","105.876","86.4865"
145,0,"1444.31","105.891","86.507"
146,0,"1444.28","105.919","86.5327"
