Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (442)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1388.17","27.3822","849.864"
2,0,"1388.16","27.3947","849.866"
3,0,"1388.15","27.4089","849.863"
4,0,"1388.15","27.4011","849.853"
5,0,"1388.14","27.4037","849.847"
6,0,"1388.13","27.4009","849.844"
7,0,"1388.12","27.3977","849.835"
8,0,"1388.12","27.4047","849.836"
9,0,"1388.1","27.403","849.828"
10,0,"1388.1","27.4168","849.823"
11,0,"1388.09","27.4216","849.822"
12,0,"1388.08","27.4317","849.819"
13,0,"1388.07","27.4329","849.828"
14,0,"1388.06","27.4226","849.818"
15,0,"1388.04","27.4106","849.818"
16,0,"1388.03","27.4102","849.814"
17,0,"1388.02","27.3953","849.821"
18,0,"1388.01","27.3738","849.812"
19,0,"1388","27.3642","849.81"
20,0,"1387.99","27.3605","849.817"
21,0,"1387.97","27.3583","849.81"
22,0,"1387.95","27.3583","849.82"
23,0,"1387.94","27.3499","849.821"
24,0,"1387.93","27.3534","849.829"
25,0,"1387.91","27.3515","849.831"
26,0,"1387.9","27.355","849.822"
27,0,"1387.88","27.3437","849.817"
28,0,"1387.86","27.3538","849.816"
29,0,"1387.85","27.3655","849.81"
30,0,"1387.84","27.3779","849.798"
31,0,"1387.83","27.3861","849.783"
32,0,"1387.81","27.4006","849.775"
33,0,"1387.79","27.4048","849.77"
34,0,"1387.78","27.4294","849.764"
35,0,"1387.76","27.4437","849.762"
36,0,"1387.74","27.4525","849.769"
37,0,"1387.73","27.4646","849.772"
38,0,"1387.71","27.4856","849.774"
39,0,"1387.7","27.4916","849.777"
40,0,"1387.68","27.501","849.779"
41,0,"1387.67","27.5097","849.768"
42,0,"1387.65","27.5187","849.764"
43,0,"1387.64","27.5146","849.752"
44,0,"1387.62","27.5141","849.743"
45,0,"1387.61","27.5188","849.742"
46,0,"1387.59","27.5163","849.748"
47,0,"1387.58","27.5184","849.757"
48,0,"1387.56","27.5273","849.77"
49,0,"1387.56","27.5379","849.786"
50,0,"1387.55","27.5443","849.796"
51,0,"1387.54","27.5609","849.797"
52,0,"1387.53","27.5706","849.799"
53,0,"1387.52","27.5729","849.793"
54,0,"1387.52","27.5699","849.792"
55,0,"1387.52","27.5676","849.786"
56,0,"1387.52","27.5735","849.79"
57,0,"1387.52","27.5786","849.796"
58,0,"1387.52","27.5953","849.801"
59,0,"1387.52","27.6137","849.806"
60,0,"1387.52","27.6527","849.811"
61,0,"1387.52","27.6876","849.809"
62,0,"1387.53","27.7217","849.804"
63,0,"1387.53","27.7446","849.806"
64,0,"1387.54","27.7575","849.812"
65,0,"1387.55","27.7735","849.818"
66,0,"1387.55","27.7857","849.822"
67,0,"1387.56","27.7996","849.826"
68,0,"1387.57","27.8191","849.83"
69,0,"1387.57","27.8393","849.825"
70,0,"1387.58","27.8752","849.816"
71,0,"1387.6","27.9042","849.813"
72,0,"1387.61","27.9403","849.804"
73,0,"1387.62","27.9788","849.807"
74,0,"1387.63","28.0148","849.806"
75,0,"1387.64","28.0529","849.817"
76,0,"1387.65","28.0928","849.825"
77,0,"1387.67","28.1199","849.835"
78,0,"1387.68","28.1667","849.837"
79,0,"1387.7","28.2188","849.837"
80,0,"1387.71","28.268","849.833"
81,0,"1387.72","28.3096","849.839"
82,0,"1387.74","28.3766","849.833"
83,0,"1387.76","28.4322","849.828"
84,0,"1387.79","28.4957","849.834"
85,0,"1387.81","28.5641","849.837"
86,0,"1387.82","28.6337","849.838"
87,0,"1387.84","28.6914","849.841"
88,0,"1387.86","28.7479","849.849"
89,0,"1387.87","28.7976","849.856"
90,0,"1387.88","28.8562","849.86"
91,0,"1387.88","28.9053","849.868"
92,0,"1387.89","28.9404","849.88"
93,0,"1387.9","28.9698","849.891"
94,0,"1387.9","28.9943","849.907"
95,0,"1387.91","29.0147","849.922"
96,0,"1387.91","29.0172","849.955"
97,0,"1387.9","29.01","849.978"
98,0,"1387.89","28.9814","850.003"
99,0,"1387.89","28.9659","850.027"
100,0,"1387.88","28.9409","850.052"
101,0,"1387.86","28.9139","850.059"
102,0,"1387.85","28.8824","850.053"
103,0,"1387.84","28.8477","850.038"
104,0,"1387.83","28.7946","850.03"
105,0,"1387.81","28.7586","850.014"
106,0,"1387.8","28.7232","850"
107,0,"1387.79","28.6859","849.982"
108,0,"1387.77","28.655","849.964"
109,0,"1387.76","28.6329","849.949"
110,0,"1387.75","28.632","849.935"
111,0,"1387.73","28.6466","849.931"
112,0,"1387.73","28.6786","849.916"
113,0,"1387.72","28.7206","849.908"
114,0,"1387.71","28.792","849.914"
115,0,"1387.69","28.8559","849.896"
116,0,"1387.67","28.9547","849.866"
117,0,"1387.64","29.0532","849.844"
118,0,"1387.6","29.1569","849.827"
119,0,"1387.58","29.2669","849.798"
120,0,"1387.54","29.3669","849.754"
121,0,"1387.5","29.4694","849.705"
122,0,"1387.51","29.5669","849.636"
123,0,"1387.53","29.6656","849.597"
124,0,"1387.54","29.7474","849.599"
125,0,"1387.54","29.805","849.589"
126,0,"1387.52","29.8527","849.562"
127,0,"1387.49","29.913","849.521"
128,0,"1387.42","29.9556","849.499"
129,0,"1387.34","29.9702","849.511"
130,0,"1387.23","29.9971","849.538"
131,0,"1387.11","30.0226","849.567"
132,0,"1386.97","30.0622","849.61"
133,0,"1386.83","30.1053","849.653"
134,0,"1386.65","30.1442","849.69"
135,0,"1386.46","30.2018","849.711"
136,0,"1386.24","30.2531","849.72"
137,0,"1386.02","30.316","849.721"
138,0,"1385.77","30.3755","849.709"
139,0,"1385.51","30.4461","849.697"
140,0,"1385.23","30.5375","849.665"
141,0,"1384.93","30.6252","849.638"
142,0,"1384.64","30.6995","849.608"
143,0,"1384.35","30.824","849.592"
144,0,"1384.05","30.9448","849.595"
145,0,"1383.75","31.0936","849.591"
146,0,"1383.47","31.2543","849.611"
