Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (397)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1355.84","0.683202","442.907"
2,0,"1355.85","0.689264","442.909"
3,0,"1355.84","0.708994","442.896"
4,0,"1355.83","0.717807","442.893"
5,0,"1355.81","0.741587","442.889"
6,0,"1355.81","0.756902","442.88"
7,0,"1355.79","0.786045","442.876"
8,0,"1355.78","0.816036","442.867"
9,0,"1355.79","0.846953","442.867"
10,0,"1355.78","0.879632","442.862"
11,0,"1355.77","0.887246","442.88"
12,0,"1355.76","0.926274","442.888"
13,0,"1355.75","0.929001","442.904"
14,0,"1355.77","0.939663","442.914"
15,0,"1355.79","0.922564","442.954"
16,0,"1355.78","0.94381","442.943"
17,0,"1355.75","0.968503","442.941"
18,0,"1355.76","0.978041","442.947"
19,0,"1355.75","1.00577","442.964"
20,0,"1355.77","1.00354","442.982"
21,0,"1355.75","1.07404","442.968"
22,0,"1355.73","1.1193","442.966"
23,0,"1355.73","1.14533","442.983"
24,0,"1355.72","1.18739","442.98"
25,0,"1355.72","1.20895","442.985"
26,0,"1355.7","1.23621","442.992"
27,0,"1355.69","1.26012","443.01"
28,0,"1355.63","1.30827","442.981"
29,0,"1355.59","1.37377","442.963"
30,0,"1355.54","1.4608","442.931"
31,0,"1355.53","1.4913","442.924"
32,0,"1355.55","1.49171","442.941"
33,0,"1355.51","1.53725","442.927"
34,0,"1355.5","1.559","442.929"
35,0,"1355.52","1.55635","442.96"
36,0,"1355.49","1.59461","442.958"
37,0,"1355.45","1.62864","442.955"
38,0,"1355.43","1.63668","442.965"
39,0,"1355.42","1.63819","442.981"
40,0,"1355.38","1.67654","442.955"
41,0,"1355.33","1.73977","442.909"
42,0,"1355.32","1.73555","442.9"
43,0,"1355.34","1.71581","442.918"
44,0,"1355.31","1.71128","442.903"
45,0,"1355.31","1.70817","442.901"
46,0,"1355.29","1.71612","442.9"
47,0,"1355.29","1.70434","442.926"
48,0,"1355.27","1.72704","442.932"
49,0,"1355.27","1.73582","442.95"
50,0,"1355.24","1.7702","442.937"
51,0,"1355.24","1.77821","442.943"
52,0,"1355.24","1.78561","442.942"
53,0,"1355.23","1.7922","442.93"
54,0,"1355.23","1.78065","442.928"
55,0,"1355.24","1.7723","442.931"
56,0,"1355.24","1.75358","442.931"
57,0,"1355.24","1.74758","442.935"
58,0,"1355.24","1.72411","442.947"
59,0,"1355.23","1.72385","442.944"
60,0,"1355.24","1.72276","442.943"
61,0,"1355.24","1.73947","442.94"
62,0,"1355.24","1.75049","442.943"
63,0,"1355.25","1.74273","442.954"
64,0,"1355.25","1.74544","442.958"
65,0,"1355.26","1.74547","442.959"
66,0,"1355.27","1.74864","442.947"
67,0,"1355.28","1.74968","442.95"
68,0,"1355.29","1.73506","442.954"
69,0,"1355.29","1.75989","442.938"
70,0,"1355.32","1.74052","442.944"
71,0,"1355.32","1.74945","442.94"
72,0,"1355.37","1.70733","442.953"
73,0,"1355.39","1.70809","442.939"
74,0,"1355.44","1.65503","442.985"
75,0,"1355.47","1.6137","442.986"
76,0,"1355.5","1.57824","442.993"
77,0,"1355.48","1.57272","442.965"
78,0,"1355.49","1.52464","442.962"
79,0,"1355.52","1.47398","442.982"
80,0,"1355.55","1.41478","442.972"
81,0,"1355.63","1.28392","442.986"
82,0,"1355.69","1.17861","443.009"
83,0,"1355.73","1.08464","442.993"
84,0,"1355.74","0.98539","442.967"
85,0,"1355.73","0.899153","442.897"
86,0,"1355.76","0.723571","442.91"
87,0,"1355.8","0.548139","442.907"
88,0,"1355.81","0.385056","442.892"
89,0,"1355.87","0.14619","442.9"
90,0,"1355.9","-0.074684","442.928"
91,0,"1355.91","-0.275921","442.912"
92,0,"1356","-0.541427","442.96"
93,0,"1355.95","-0.681092","442.9"
94,0,"1355.98","-0.86912","442.899"
95,0,"1355.97","-1.00267","442.882"
96,0,"1355.97","-1.16141","442.918"
97,0,"1355.97","-1.32561","442.957"
98,0,"1356.04","-1.4855","443.024"
99,0,"1356","-1.55755","443.025"
100,0,"1356.02","-1.64341","443.044"
101,0,"1356","-1.67804","443.042"
102,0,"1355.99","-1.72013","443.049"
103,0,"1355.97","-1.74434","443.056"
104,0,"1355.97","-1.75434","443.052"
105,0,"1355.95","-1.72874","443.033"
106,0,"1355.96","-1.71121","443.032"
107,0,"1355.95","-1.66795","443.024"
108,0,"1355.91","-1.6083","442.989"
109,0,"1355.89","-1.56136","442.989"
110,0,"1355.83","-1.46947","442.938"
111,0,"1355.84","-1.43302","442.955"
112,0,"1355.83","-1.38114","442.962"
113,0,"1355.81","-1.29574","442.952"
114,0,"1355.81","-1.21265","442.959"
115,0,"1355.83","-1.12979","442.957"
116,0,"1355.87","-1.06304","442.968"
117,0,"1355.91","-0.986833","442.987"
118,0,"1355.95","-0.898449","443.002"
119,0,"1355.95","-0.827672","443.006"
120,0,"1355.98","-0.751964","443.013"
121,0,"1356.04","-0.695329","443.039"
122,0,"1356.1","-0.608072","443.06"
123,0,"1356.18","-0.507955","443.056"
124,0,"1356.27","-0.424724","443.083"
125,0,"1356.41","-0.370946","443.142"
126,0,"1356.52","-0.282737","443.164"
127,0,"1356.6","-0.182463","443.164"
128,0,"1356.65","-0.0910323","443.148"
129,0,"1356.67","-0.0409337","443.149"
130,0,"1356.64","0.00919993","443.148"
131,0,"1356.52","0.090138","443.143"
132,0,"1356.4","0.149391","443.139"
133,0,"1356.24","0.239374","443.104"
134,0,"1356.14","0.270582","443.1"
135,0,"1356","0.348687","443.101"
136,0,"1355.91","0.403999","443.116"
137,0,"1355.74","0.508134","443.102"
138,0,"1355.62","0.552856","443.134"
139,0,"1355.49","0.610771","443.159"
140,0,"1355.31","0.728895","443.141"
141,0,"1355.11","0.81221","443.139"
142,0,"1354.98","0.824649","443.139"
143,0,"1354.84","0.873428","443.135"
