Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (362)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1358.3","23.7096","1328.57"
2,0,"1358.3","23.7038","1328.56"
3,0,"1358.28","23.7009","1328.54"
4,0,"1358.28","23.6836","1328.54"
5,0,"1358.28","23.6691","1328.53"
6,0,"1358.28","23.6593","1328.51"
7,0,"1358.28","23.6468","1328.5"
8,0,"1358.27","23.6324","1328.48"
9,0,"1358.28","23.6166","1328.47"
10,0,"1358.28","23.6048","1328.47"
11,0,"1358.29","23.5864","1328.46"
12,0,"1358.28","23.5718","1328.45"
13,0,"1358.3","23.5505","1328.46"
14,0,"1358.29","23.5506","1328.44"
15,0,"1358.3","23.5387","1328.43"
16,0,"1358.31","23.5297","1328.41"
17,0,"1358.34","23.5064","1328.42"
18,0,"1358.36","23.493","1328.41"
19,0,"1358.37","23.4937","1328.38"
20,0,"1358.37","23.4834","1328.36"
21,0,"1358.39","23.4771","1328.35"
22,0,"1358.39","23.465","1328.34"
23,0,"1358.41","23.4517","1328.33"
24,0,"1358.4","23.5","1328.26"
25,0,"1358.4","23.4525","1328.29"
26,0,"1358.42","23.4297","1328.31"
27,0,"1358.42","23.4307","1328.28"
28,0,"1358.44","23.4091","1328.28"
29,0,"1358.46","23.4002","1328.27"
30,0,"1358.45","23.4078","1328.24"
31,0,"1358.46","23.397","1328.24"
32,0,"1358.45","23.4534","1328.15"
33,0,"1358.48","23.4056","1328.2"
34,0,"1358.49","23.4092","1328.18"
35,0,"1358.51","23.424","1328.17"
36,0,"1358.52","23.4333","1328.17"
37,0,"1358.51","23.459","1328.15"
38,0,"1358.52","23.4753","1328.15"
39,0,"1358.53","23.5076","1328.14"
40,0,"1358.54","23.5236","1328.14"
41,0,"1358.57","23.5424","1328.14"
42,0,"1358.57","23.5737","1328.11"
43,0,"1358.59","23.5985","1328.09"
44,0,"1358.59","23.6346","1328.07"
45,0,"1358.61","23.6632","1328.06"
46,0,"1358.62","23.685","1328.06"
47,0,"1358.62","23.7241","1328.04"
48,0,"1358.63","23.7612","1328.03"
49,0,"1358.62","23.81","1328.02"
50,0,"1358.62","23.8534","1328.01"
51,0,"1358.63","23.8893","1328"
52,0,"1358.63","23.9353","1327.98"
53,0,"1358.63","23.9677","1327.98"
54,0,"1358.63","24.0179","1327.94"
55,0,"1358.72","24.0573","1327.96"
56,0,"1358.64","24.0847","1327.93"
57,0,"1358.72","24.1297","1327.94"
58,0,"1358.63","24.1647","1327.93"
59,0,"1358.62","24.2226","1327.91"
60,0,"1358.62","24.2608","1327.92"
61,0,"1358.6","24.3221","1327.91"
62,0,"1358.6","24.3728","1327.91"
63,0,"1358.6","24.4174","1327.92"
64,0,"1358.58","24.4718","1327.91"
65,0,"1358.57","24.5248","1327.91"
66,0,"1358.56","24.579","1327.92"
67,0,"1358.55","24.6403","1327.92"
68,0,"1358.56","24.6861","1327.94"
69,0,"1358.56","24.748","1327.96"
70,0,"1358.55","24.8185","1327.96"
71,0,"1358.55","24.8853","1327.97"
72,0,"1358.54","24.9686","1327.96"
73,0,"1358.54","25.0561","1327.96"
74,0,"1358.53","25.135","1327.97"
75,0,"1358.51","25.2252","1327.96"
76,0,"1358.5","25.3097","1327.97"
77,0,"1358.5","25.3875","1327.99"
78,0,"1358.49","25.4854","1327.99"
79,0,"1358.49","25.5778","1328"
80,0,"1358.47","25.6805","1328.01"
81,0,"1358.47","25.7655","1328.01"
82,0,"1358.46","25.8613","1328.01"
83,0,"1358.46","25.9478","1328.01"
84,0,"1358.47","26.0298","1328.02"
85,0,"1358.46","26.1204","1328.01"
86,0,"1358.47","26.1959","1328.02"
87,0,"1358.48","26.285","1328.01"
88,0,"1358.48","26.3621","1328.02"
89,0,"1358.49","26.4438","1328.02"
90,0,"1358.5","26.5097","1328.03"
91,0,"1358.51","26.58","1328.03"
92,0,"1358.52","26.6297","1328.05"
93,0,"1358.51","26.7118","1328.03"
94,0,"1358.5","26.7841","1328.01"
95,0,"1358.49","26.8471","1328.02"
96,0,"1358.5","26.9052","1328.02"
97,0,"1358.48","26.9845","1328.01"
98,0,"1358.47","27.0393","1328.01"
99,0,"1358.48","27.0887","1328.04"
100,0,"1358.47","27.1413","1328.04"
101,0,"1358.46","27.194","1328.05"
102,0,"1358.46","27.2295","1328.06"
103,0,"1358.44","27.293","1328.05"
104,0,"1358.43","27.3314","1328.06"
105,0,"1358.42","27.3693","1328.06"
106,0,"1358.38","27.4349","1328.04"
107,0,"1358.38","27.4651","1328.04"
108,0,"1358.37","27.5121","1328.03"
109,0,"1358.36","27.5616","1328.02"
110,0,"1358.35","27.5989","1328.01"
111,0,"1358.34","27.6251","1328"
112,0,"1358.31","27.6445","1327.99"
113,0,"1358.27","27.6565","1327.99"
114,0,"1358.24","27.6435","1328"
115,0,"1358.18","27.626","1328"
116,0,"1358.1","27.6026","1327.97"
117,0,"1358.03","27.5598","1327.97"
118,0,"1357.95","27.5257","1327.95"
119,0,"1357.84","27.5088","1327.91"
120,0,"1357.73","27.4695","1327.91"
121,0,"1357.6","27.3832","1327.96"
122,0,"1357.45","27.3316","1327.99"
123,0,"1357.32","27.2497","1328.06"
124,0,"1357.14","27.1997","1328.11"
125,0,"1356.94","27.1237","1328.18"
126,0,"1356.72","27.0718","1328.23"
127,0,"1356.49","26.9877","1328.3"
128,0,"1356.19","26.937","1328.33"
129,0,"1355.87","26.8562","1328.39"
130,0,"1355.55","26.7763","1328.46"
131,0,"1355.21","26.6989","1328.55"
132,0,"1354.85","26.6024","1328.65"
133,0,"1354.46","26.5118","1328.76"
134,0,"1354.05","26.4148","1328.89"
135,0,"1353.59","26.3733","1328.97"
136,0,"1353.18","26.2542","1329.15"
137,0,"1352.73","26.1898","1329.27"
138,0,"1352.24","26.1481","1329.37"
139,0,"1351.78","26.106","1329.5"
