Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (404)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"984.617","140.264","949.035"
2,0,"984.599","140.246","949.043"
3,0,"984.613","140.219","949.044"
4,0,"984.591","140.196","949.048"
5,0,"984.568","140.14","949.06"
6,0,"984.532","140.119","949.075"
7,0,"984.504","140.064","949.074"
8,0,"984.444","140.016","949.077"
9,0,"984.398","139.971","949.088"
10,0,"984.378","139.911","949.098"
11,0,"984.345","139.863","949.1"
12,0,"984.305","139.817","949.111"
13,0,"984.282","139.769","949.13"
14,0,"984.256","139.729","949.144"
15,0,"984.249","139.668","949.162"
16,0,"984.214","139.624","949.185"
17,0,"984.191","139.576","949.202"
18,0,"984.175","139.539","949.221"
19,0,"984.162","139.493","949.222"
20,0,"984.119","139.441","949.222"
21,0,"984.101","139.383","949.226"
22,0,"984.072","139.355","949.237"
23,0,"984.048","139.303","949.258"
24,0,"984.016","139.255","949.271"
25,0,"983.984","139.202","949.297"
26,0,"983.958","139.156","949.322"
27,0,"983.934","139.108","949.35"
28,0,"983.898","139.044","949.365"
29,0,"983.88","138.99","949.381"
30,0,"983.849","138.94","949.392"
31,0,"983.829","138.871","949.396"
32,0,"983.779","138.807","949.405"
33,0,"983.748","138.734","949.403"
34,0,"983.708","138.671","949.414"
35,0,"983.679","138.614","949.423"
36,0,"983.65","138.554","949.443"
37,0,"983.608","138.493","949.458"
38,0,"983.589","138.435","949.49"
39,0,"983.553","138.366","949.501"
40,0,"983.528","138.298","949.51"
41,0,"983.482","138.262","949.526"
42,0,"983.455","138.209","949.522"
43,0,"983.421","138.179","949.544"
44,0,"983.371","138.131","949.543"
45,0,"983.31","138.111","949.558"
46,0,"983.294","138.079","949.571"
47,0,"983.278","138.051","949.58"
48,0,"983.242","138.043","949.586"
49,0,"983.223","138.034","949.609"
50,0,"983.214","138.015","949.612"
51,0,"983.223","138.01","949.619"
52,0,"983.193","138.008","949.611"
53,0,"983.171","138.028","949.61"
54,0,"983.14","138.055","949.608"
55,0,"983.154","138.065","949.598"
56,0,"983.142","138.093","949.599"
57,0,"983.143","138.117","949.588"
58,0,"983.142","138.142","949.585"
59,0,"983.159","138.174","949.584"
60,0,"983.17","138.21","949.572"
61,0,"983.186","138.247","949.564"
62,0,"983.201","138.278","949.562"
63,0,"983.212","138.337","949.568"
64,0,"983.182","138.378","949.561"
65,0,"983.206","138.417","949.551"
66,0,"983.197","138.459","949.545"
67,0,"983.197","138.503","949.541"
68,0,"983.172","138.55","949.514"
69,0,"983.17","138.608","949.491"
70,0,"983.172","138.653","949.459"
71,0,"983.182","138.712","949.42"
72,0,"983.182","138.781","949.374"
73,0,"983.202","138.846","949.355"
74,0,"983.234","138.913","949.319"
75,0,"983.251","138.984","949.306"
76,0,"983.278","139.05","949.277"
77,0,"983.303","139.127","949.258"
78,0,"983.347","139.196","949.246"
79,0,"983.374","139.278","949.229"
80,0,"983.411","139.371","949.212"
81,0,"983.443","139.472","949.187"
82,0,"983.487","139.56","949.165"
83,0,"983.541","139.663","949.134"
84,0,"983.58","139.771","949.096"
85,0,"983.59","139.891","949.06"
86,0,"983.613","139.989","949.026"
87,0,"983.633","140.091","948.999"
88,0,"983.672","140.179","948.985"
89,0,"983.685","140.278","948.967"
90,0,"983.693","140.369","948.949"
91,0,"983.71","140.466","948.932"
92,0,"983.73","140.555","948.909"
93,0,"983.728","140.635","948.886"
94,0,"983.747","140.72","948.866"
95,0,"983.768","140.799","948.856"
96,0,"983.769","140.886","948.841"
97,0,"983.768","140.968","948.838"
98,0,"983.767","141.051","948.839"
99,0,"983.771","141.149","948.837"
100,0,"983.767","141.232","948.845"
101,0,"983.764","141.319","948.85"
102,0,"983.754","141.406","948.849"
103,0,"983.755","141.495","948.846"
104,0,"983.744","141.57","948.835"
105,0,"983.738","141.656","948.835"
106,0,"983.761","141.715","948.819"
107,0,"983.764","141.764","948.803"
108,0,"983.742","141.826","948.786"
109,0,"983.741","141.86","948.757"
110,0,"983.726","141.882","948.749"
111,0,"983.729","141.891","948.731"
112,0,"983.731","141.904","948.718"
113,0,"983.752","141.889","948.703"
114,0,"983.774","141.874","948.679"
115,0,"983.785","141.87","948.675"
116,0,"983.814","141.848","948.645"
117,0,"983.827","141.836","948.618"
118,0,"983.822","141.823","948.587"
119,0,"983.846","141.797","948.561"
120,0,"983.861","141.775","948.545"
121,0,"983.849","141.755","948.524"
122,0,"983.852","141.733","948.486"
123,0,"983.811","141.715","948.464"
124,0,"983.798","141.687","948.422"
125,0,"983.782","141.681","948.371"
126,0,"983.749","141.662","948.317"
127,0,"983.728","141.66","948.26"
128,0,"983.66","141.665","948.188"
129,0,"983.574","141.676","948.11"
130,0,"983.475","141.694","948.047"
131,0,"983.344","141.716","947.969"
132,0,"983.23","141.735","947.891"
133,0,"983.065","141.797","947.811"
134,0,"982.878","141.829","947.722"
135,0,"982.693","141.881","947.621"
136,0,"982.506","141.924","947.515"
137,0,"982.326","141.98","947.42"
138,0,"982.093","142.015","947.306"
139,0,"981.789","142.044","947.173"
140,0,"981.445","142.07","947.065"
141,0,"981.117","142.076","946.965"
142,0,"980.771","142.041","946.887"
143,0,"980.382","142.02","946.811"
144,0,"980.032","141.961","946.74"
145,0,"979.604","141.938","946.7"
146,0,"979.234","141.881","946.657"
147,0,"978.853","141.834","946.608"
148,0,"978.509","141.78","946.571"
149,0,"978.111","141.734","946.515"
150,0,"977.732","141.681","946.461"
151,0,"977.385","141.612","946.364"
152,0,"976.972","141.546","946.296"
153,0,"976.597","141.469","946.203"
154,0,"976.308","141.33","946.09"
155,0,"975.949","141.247","945.946"
156,0,"975.588","141.157","945.818"
157,0,"975.303","141.07","945.671"
158,0,"974.967","140.986","945.529"
159,0,"974.658","140.947","945.384"
160,0,"974.334","140.899","945.237"
161,0,"974.027","140.866","945.095"
