Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (407)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"957.832","146.152","84.4447"
2,0,"957.828","146.15","84.4393"
3,0,"957.821","146.142","84.442"
4,0,"957.819","146.132","84.4371"
5,0,"957.824","146.135","84.444"
6,0,"957.815","146.138","84.4437"
7,0,"957.819","146.138","84.44"
8,0,"957.809","146.139","84.4427"
9,0,"957.812","146.149","84.4321"
10,0,"957.802","146.152","84.4326"
11,0,"957.794","146.152","84.4332"
12,0,"957.79","146.155","84.4349"
13,0,"957.791","146.162","84.4288"
14,0,"957.787","146.159","84.4313"
15,0,"957.786","146.157","84.4374"
16,0,"957.791","146.153","84.4431"
17,0,"957.791","146.142","84.447"
18,0,"957.787","146.136","84.4497"
19,0,"957.787","146.136","84.4488"
20,0,"957.784","146.136","84.4422"
21,0,"957.784","146.138","84.4386"
22,0,"957.782","146.143","84.429"
23,0,"957.78","146.148","84.4374"
24,0,"957.779","146.143","84.4388"
25,0,"957.773","146.136","84.4458"
26,0,"957.774","146.136","84.4579"
27,0,"957.776","146.126","84.467"
28,0,"957.772","146.116","84.4762"
29,0,"957.774","146.119","84.4794"
30,0,"957.768","146.121","84.4816"
31,0,"957.77","146.118","84.4805"
32,0,"957.772","146.116","84.4763"
33,0,"957.77","146.119","84.4705"
34,0,"957.772","146.122","84.4743"
35,0,"957.778","146.107","84.4743"
36,0,"957.76","146.097","84.4909"
37,0,"957.756","146.096","84.503"
38,0,"957.753","146.089","84.5197"
39,0,"957.745","146.09","84.5325"
40,0,"957.763","146.099","84.5318"
41,0,"957.756","146.089","84.5348"
42,0,"957.763","146.082","84.5229"
43,0,"957.76","146.082","84.5192"
44,0,"957.755","146.079","84.5085"
45,0,"957.746","146.077","84.5031"
46,0,"957.747","146.072","84.4964"
47,0,"957.742","146.067","84.5096"
48,0,"957.74","146.069","84.5056"
49,0,"957.732","146.062","84.502"
50,0,"957.732","146.073","84.5075"
51,0,"957.752","146.072","84.5071"
52,0,"957.745","146.063","84.5046"
53,0,"957.761","146.066","84.5089"
54,0,"957.756","146.052","84.5201"
55,0,"957.751","146.046","84.5268"
56,0,"957.75","146.038","84.5298"
57,0,"957.746","146.035","84.5287"
58,0,"957.741","146.036","84.5296"
59,0,"957.726","146.025","84.5329"
60,0,"957.741","146.037","84.5209"
61,0,"957.754","146.05","84.5253"
62,0,"957.758","146.052","84.525"
63,0,"957.757","146.055","84.5187"
64,0,"957.751","146.042","84.5247"
65,0,"957.752","146.043","84.5207"
66,0,"957.743","146.036","84.5267"
67,0,"957.744","146.033","84.5297"
68,0,"957.739","146.034","84.5277"
69,0,"957.74","146.042","84.5163"
70,0,"957.739","146.045","84.5143"
71,0,"957.754","146.059","84.4928"
72,0,"957.741","146.059","84.4747"
73,0,"957.751","146.075","84.4731"
74,0,"957.745","146.08","84.4611"
75,0,"957.751","146.073","84.4565"
76,0,"957.749","146.071","84.4612"
77,0,"957.748","146.068","84.4738"
78,0,"957.744","146.072","84.4695"
79,0,"957.747","146.069","84.4674"
80,0,"957.753","146.07","84.4729"
81,0,"957.75","146.076","84.4601"
82,0,"957.746","146.071","84.4524"
83,0,"957.763","146.09","84.4326"
84,0,"957.753","146.089","84.4212"
85,0,"957.756","146.098","84.4077"
86,0,"957.734","146.088","84.4045"
87,0,"957.74","146.099","84.3931"
88,0,"957.731","146.088","84.3979"
89,0,"957.753","146.1","84.3913"
90,0,"957.748","146.09","84.4116"
91,0,"957.749","146.08","84.4105"
92,0,"957.756","146.077","84.413"
93,0,"957.763","146.073","84.4091"
94,0,"957.763","146.068","84.4043"
95,0,"957.773","146.051","84.404"
96,0,"957.779","146.048","84.3958"
97,0,"957.788","146.049","84.4009"
98,0,"957.792","146.039","84.403"
99,0,"957.794","146.031","84.4087"
100,0,"957.797","146.029","84.4146"
101,0,"957.795","146.029","84.4154"
102,0,"957.792","146.027","84.4164"
103,0,"957.791","146.026","84.4236"
104,0,"957.79","146.032","84.4203"
105,0,"957.797","146.042","84.4062"
106,0,"957.793","146.046","84.4062"
107,0,"957.785","146.047","84.3994"
108,0,"957.786","146.051","84.3922"
109,0,"957.779","146.054","84.3853"
110,0,"957.773","146.06","84.377"
111,0,"957.764","146.061","84.3741"
112,0,"957.752","146.07","84.3768"
113,0,"957.748","146.072","84.3743"
114,0,"957.748","146.084","84.3682"
115,0,"957.762","146.086","84.3743"
116,0,"957.775","146.085","84.376"
117,0,"957.781","146.084","84.3743"
118,0,"957.787","146.081","84.3744"
119,0,"957.795","146.079","84.3728"
120,0,"957.8","146.073","84.3639"
121,0,"957.808","146.069","84.3726"
122,0,"957.812","146.068","84.3861"
123,0,"957.81","146.07","84.4041"
124,0,"957.818","146.08","84.4155"
125,0,"957.838","146.087","84.4191"
126,0,"957.854","146.055","84.4452"
127,0,"957.873","146.017","84.4483"
128,0,"957.894","145.984","84.4679"
129,0,"957.915","145.956","84.4879"
130,0,"957.93","145.927","84.5057"
131,0,"957.939","145.911","84.5095"
132,0,"957.937","145.891","84.513"
133,0,"957.92","145.875","84.5128"
134,0,"957.917","145.878","84.5242"
135,0,"957.907","145.884","84.5227"
136,0,"957.906","145.9","84.5307"
137,0,"957.897","145.91","84.5279"
138,0,"957.877","145.904","84.5154"
139,0,"957.819","145.88","84.5118"
140,0,"957.79","145.866","84.492"
141,0,"957.748","145.832","84.4735"
142,0,"957.703","145.807","84.449"
143,0,"957.656","145.785","84.4256"
144,0,"957.64","145.777","84.4"
145,0,"957.6","145.752","84.3844"
146,0,"957.572","145.723","84.3804"
147,0,"957.545","145.696","84.3999"
148,0,"957.522","145.667","84.4043"
149,0,"957.488","145.623","84.4061"
150,0,"957.481","145.603","84.4062"
151,0,"957.485","145.572","84.393"
152,0,"957.465","145.527","84.373"
153,0,"957.429","145.469","84.3542"
154,0,"957.402","145.418","84.342"
