Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (406)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1046.11","-75.2388","870.936"
2,0,"1046.12","-75.2745","870.917"
3,0,"1046.13","-75.2906","870.922"
4,0,"1046.13","-75.3097","870.922"
5,0,"1046.13","-75.3351","870.912"
6,0,"1046.12","-75.3697","870.921"
7,0,"1046.1","-75.4039","870.911"
8,0,"1046.12","-75.434","870.912"
9,0,"1046.12","-75.4538","870.89"
10,0,"1046.13","-75.4989","870.855"
11,0,"1046.12","-75.5374","870.845"
12,0,"1046.11","-75.555","870.822"
13,0,"1046.11","-75.5971","870.816"
14,0,"1046.09","-75.6269","870.819"
15,0,"1046.04","-75.6628","870.82"
16,0,"1046.04","-75.7142","870.826"
17,0,"1046","-75.7552","870.817"
18,0,"1046.02","-75.7917","870.836"
19,0,"1045.99","-75.8321","870.847"
20,0,"1045.95","-75.8698","870.834"
21,0,"1045.94","-75.9083","870.826"
22,0,"1045.93","-75.9479","870.822"
23,0,"1045.91","-75.9933","870.843"
24,0,"1045.93","-76.026","870.873"
25,0,"1045.94","-76.0786","870.891"
26,0,"1045.93","-76.1255","870.915"
27,0,"1045.93","-76.1739","870.932"
28,0,"1045.9","-76.217","870.949"
29,0,"1045.9","-76.2682","870.955"
30,0,"1045.9","-76.3104","870.968"
31,0,"1045.9","-76.3542","870.974"
32,0,"1045.91","-76.4222","870.967"
33,0,"1045.91","-76.4696","870.975"
34,0,"1045.91","-76.5291","870.97"
35,0,"1045.9","-76.5705","870.978"
36,0,"1045.9","-76.6191","870.981"
37,0,"1045.93","-76.6637","870.985"
38,0,"1045.94","-76.7214","870.993"
39,0,"1045.96","-76.7554","871.017"
40,0,"1045.95","-76.8099","871.019"
41,0,"1045.94","-76.8463","871.031"
42,0,"1045.95","-76.8741","871.035"
43,0,"1045.96","-76.9093","871.038"
44,0,"1045.97","-76.9448","871.038"
45,0,"1045.98","-76.953","871.039"
46,0,"1045.99","-76.9586","871.055"
47,0,"1046.01","-76.9734","871.042"
48,0,"1046","-76.9669","871.059"
49,0,"1046","-76.9817","871.071"
50,0,"1046.01","-76.9811","871.091"
51,0,"1046.01","-76.9767","871.117"
52,0,"1046.01","-76.977","871.129"
53,0,"1046.01","-76.9661","871.134"
54,0,"1046","-76.9601","871.153"
55,0,"1045.99","-76.9457","871.139"
56,0,"1045.97","-76.9238","871.135"
57,0,"1045.97","-76.8994","871.114"
58,0,"1045.96","-76.8767","871.107"
59,0,"1045.93","-76.8362","871.106"
60,0,"1045.93","-76.8023","871.094"
61,0,"1045.92","-76.7763","871.092"
62,0,"1045.91","-76.7412","871.112"
63,0,"1045.91","-76.7138","871.1"
64,0,"1045.91","-76.6717","871.103"
65,0,"1045.92","-76.6318","871.108"
66,0,"1045.92","-76.5837","871.108"
67,0,"1045.92","-76.5389","871.099"
68,0,"1045.93","-76.4933","871.094"
69,0,"1045.93","-76.4447","871.095"
70,0,"1045.95","-76.3968","871.089"
71,0,"1045.95","-76.3427","871.068"
72,0,"1046","-76.2898","871.062"
73,0,"1046.04","-76.2306","871.055"
74,0,"1046.07","-76.1759","871.052"
75,0,"1046.07","-76.1236","871.061"
76,0,"1046.09","-76.0609","871.058"
77,0,"1046.1","-76.0025","871.06"
78,0,"1046.12","-75.9355","871.065"
79,0,"1046.14","-75.8628","871.083"
80,0,"1046.17","-75.7773","871.08"
81,0,"1046.17","-75.6934","871.054"
82,0,"1046.18","-75.6086","871.038"
83,0,"1046.21","-75.5346","871.032"
84,0,"1046.21","-75.4581","871.029"
85,0,"1046.22","-75.3595","871.025"
86,0,"1046.22","-75.2646","871.028"
87,0,"1046.23","-75.1775","871.029"
88,0,"1046.24","-75.0966","871.024"
89,0,"1046.25","-74.9952","871.039"
90,0,"1046.25","-74.9054","871.057"
91,0,"1046.21","-74.8313","871.023"
92,0,"1046.2","-74.7453","871.016"
93,0,"1046.19","-74.6589","870.991"
94,0,"1046.21","-74.5719","870.961"
95,0,"1046.18","-74.4824","870.918"
96,0,"1046.17","-74.4004","870.874"
97,0,"1046.17","-74.314","870.851"
98,0,"1046.19","-74.2281","870.839"
99,0,"1046.18","-74.1434","870.837"
100,0,"1046.21","-74.0468","870.852"
101,0,"1046.19","-73.9564","870.831"
102,0,"1046.18","-73.8711","870.844"
103,0,"1046.17","-73.7733","870.854"
104,0,"1046.16","-73.6957","870.855"
105,0,"1046.14","-73.6313","870.849"
106,0,"1046.13","-73.5847","870.844"
107,0,"1046.13","-73.5411","870.843"
108,0,"1046.1","-73.5078","870.856"
109,0,"1046.08","-73.4784","870.858"
110,0,"1046.05","-73.4733","870.857"
111,0,"1046.03","-73.4842","870.874"
112,0,"1046","-73.5109","870.881"
113,0,"1045.95","-73.5398","870.908"
114,0,"1045.92","-73.5883","870.932"
115,0,"1045.87","-73.6432","870.975"
116,0,"1045.83","-73.7013","871.017"
117,0,"1045.77","-73.7681","871.061"
118,0,"1045.7","-73.8294","871.1"
119,0,"1045.65","-73.8964","871.149"
120,0,"1045.58","-73.9608","871.184"
121,0,"1045.51","-74.0144","871.224"
122,0,"1045.44","-74.0747","871.266"
123,0,"1045.37","-74.1324","871.307"
124,0,"1045.28","-74.1982","871.349"
125,0,"1045.19","-74.2581","871.407"
126,0,"1045.07","-74.314","871.44"
127,0,"1044.92","-74.3672","871.473"
128,0,"1044.79","-74.4336","871.504"
129,0,"1044.67","-74.4815","871.518"
130,0,"1044.51","-74.5177","871.525"
131,0,"1044.34","-74.5344","871.525"
132,0,"1044.16","-74.5494","871.544"
133,0,"1043.98","-74.5507","871.532"
134,0,"1043.78","-74.5472","871.526"
135,0,"1043.54","-74.5384","871.494"
136,0,"1043.27","-74.5243","871.474"
137,0,"1043.04","-74.482","871.465"
138,0,"1042.76","-74.4654","871.392"
139,0,"1042.54","-74.4398","871.324"
