Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (445)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"nan","nan","nan"
2,0,"nan","nan","nan"
3,0,"nan","nan","nan"
4,0,"nan","nan","nan"
5,0,"nan","nan","nan"
6,0,"nan","nan","nan"
7,0,"nan","nan","nan"
8,0,"nan","nan","nan"
9,0,"nan","nan","nan"
10,0,"nan","nan","nan"
11,0,"nan","nan","nan"
12,0,"nan","nan","nan"
13,0,"nan","nan","nan"
14,0,"nan","nan","nan"
15,0,"nan","nan","nan"
16,0,"nan","nan","nan"
17,0,"nan","nan","nan"
18,0,"nan","nan","nan"
19,0,"nan","nan","nan"
20,0,"nan","nan","nan"
21,0,"nan","nan","nan"
22,0,"nan","nan","nan"
23,0,"nan","nan","nan"
24,0,"nan","nan","nan"
25,0,"nan","nan","nan"
26,0,"nan","nan","nan"
27,0,"nan","nan","nan"
28,0,"nan","nan","nan"
29,0,"nan","nan","nan"
30,0,"nan","nan","nan"
31,0,"nan","nan","nan"
32,0,"nan","nan","nan"
33,0,"nan","nan","nan"
34,0,"nan","nan","nan"
35,0,"nan","nan","nan"
36,0,"nan","nan","nan"
37,0,"nan","nan","nan"
38,0,"nan","nan","nan"
39,0,"nan","nan","nan"
40,0,"nan","nan","nan"
41,0,"nan","nan","nan"
42,0,"nan","nan","nan"
43,0,"nan","nan","nan"
44,0,"nan","nan","nan"
45,0,"nan","nan","nan"
46,0,"nan","nan","nan"
47,0,"nan","nan","nan"
48,0,"nan","nan","nan"
49,0,"nan","nan","nan"
50,0,"nan","nan","nan"
51,0,"nan","nan","nan"
52,0,"nan","nan","nan"
53,0,"nan","nan","nan"
54,0,"nan","nan","nan"
55,0,"nan","nan","nan"
56,0,"nan","nan","nan"
57,0,"nan","nan","nan"
58,0,"nan","nan","nan"
59,0,"nan","nan","nan"
60,0,"nan","nan","nan"
61,0,"nan","nan","nan"
62,0,"nan","nan","nan"
63,0,"nan","nan","nan"
64,0,"nan","nan","nan"
65,0,"nan","nan","nan"
66,0,"nan","nan","nan"
67,0,"nan","nan","nan"
68,0,"nan","nan","nan"
69,0,"nan","nan","nan"
70,0,"nan","nan","nan"
71,0,"nan","nan","nan"
72,0,"nan","nan","nan"
73,0,"nan","nan","nan"
74,0,"nan","nan","nan"
75,0,"nan","nan","nan"
76,0,"nan","nan","nan"
77,0,"nan","nan","nan"
78,0,"nan","nan","nan"
79,0,"nan","nan","nan"
80,0,"nan","nan","nan"
81,0,"nan","nan","nan"
82,0,"nan","nan","nan"
83,0,"nan","nan","nan"
84,0,"nan","nan","nan"
85,0,"nan","nan","nan"
86,0,"nan","nan","nan"
87,0,"nan","nan","nan"
88,0,"nan","nan","nan"
89,0,"nan","nan","nan"
90,0,"nan","nan","nan"
91,0,"nan","nan","nan"
92,0,"nan","nan","nan"
93,0,"nan","nan","nan"
94,0,"nan","nan","nan"
95,0,"nan","nan","nan"
96,0,"nan","nan","nan"
97,0,"nan","nan","nan"
98,0,"nan","nan","nan"
99,0,"nan","nan","nan"
100,0,"nan","nan","nan"
101,0,"nan","nan","nan"
102,0,"nan","nan","nan"
103,0,"nan","nan","nan"
104,0,"nan","nan","nan"
105,0,"nan","nan","nan"
106,0,"nan","nan","nan"
107,0,"nan","nan","nan"
108,0,"nan","nan","nan"
109,0,"nan","nan","nan"
110,0,"nan","nan","nan"
111,0,"nan","nan","nan"
112,0,"nan","nan","nan"
113,0,"nan","nan","nan"
114,0,"nan","nan","nan"
115,0,"nan","nan","nan"
116,0,"nan","nan","nan"
117,0,"nan","nan","nan"
118,0,"nan","nan","nan"
119,0,"nan","nan","nan"
120,0,"nan","nan","nan"
121,0,"nan","nan","nan"
122,0,"nan","nan","nan"
123,0,"nan","nan","nan"
124,0,"nan","nan","nan"
125,0,"nan","nan","nan"
126,0,"nan","nan","nan"
127,0,"nan","nan","nan"
128,0,"nan","nan","nan"
129,0,"nan","nan","nan"
130,0,"nan","nan","nan"
131,0,"nan","nan","nan"
132,0,"nan","nan","nan"
133,0,"nan","nan","nan"
134,0,"nan","nan","nan"
135,0,"nan","nan","nan"
136,0,"nan","nan","nan"
137,0,"nan","nan","nan"
138,0,"nan","nan","nan"
139,0,"nan","nan","nan"
140,0,"nan","nan","nan"
141,0,"nan","nan","nan"
142,0,"nan","nan","nan"
143,0,"nan","nan","nan"
144,0,"nan","nan","nan"
145,0,"nan","nan","nan"
146,0,"nan","nan","nan"
147,0,"nan","nan","nan"
148,0,"nan","nan","nan"
149,0,"nan","nan","nan"
150,0,"nan","nan","nan"
151,0,"nan","nan","nan"
152,0,"nan","nan","nan"
153,0,"nan","nan","nan"
154,0,"nan","nan","nan"
155,0,"nan","nan","nan"
156,0,"nan","nan","nan"
157,0,"nan","nan","nan"
158,0,"nan","nan","nan"
159,0,"nan","nan","nan"
160,0,"nan","nan","nan"
161,0,"nan","nan","nan"
162,0,"nan","nan","nan"
163,0,"nan","nan","nan"
164,0,"nan","nan","nan"
165,0,"nan","nan","nan"
166,0,"nan","nan","nan"
167,0,"nan","nan","nan"
168,0,"nan","nan","nan"
169,0,"nan","nan","nan"
170,0,"nan","nan","nan"
171,0,"nan","nan","nan"
172,0,"nan","nan","nan"
173,0,"nan","nan","nan"
174,0,"nan","nan","nan"
175,0,"nan","nan","nan"
176,0,"nan","nan","nan"
177,0,"nan","nan","nan"
178,0,"nan","nan","nan"
179,0,"nan","nan","nan"
180,0,"nan","nan","nan"
181,0,"nan","nan","nan"
182,0,"nan","nan","nan"
183,0,"nan","nan","nan"
184,0,"nan","nan","nan"
185,0,"nan","nan","nan"
186,0,"nan","nan","nan"
187,0,"nan","nan","nan"
188,0,"nan","nan","nan"
189,0,"nan","nan","nan"
190,0,"nan","nan","nan"
191,0,"nan","nan","nan"
192,0,"nan","nan","nan"
193,0,"nan","nan","nan"
194,0,"nan","nan","nan"
