Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (419)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1051.68","15.2693","429.793"
2,0,"1051.68","15.2798","429.788"
3,0,"1051.68","15.295","429.785"
4,0,"1051.69","15.293","429.781"
5,0,"1051.67","15.2818","429.779"
6,0,"1051.67","15.291","429.774"
7,0,"1051.67","15.2987","429.771"
8,0,"1051.67","15.3068","429.76"
9,0,"1051.67","15.3201","429.758"
10,0,"1051.66","15.3313","429.751"
11,0,"1051.67","15.3514","429.754"
12,0,"1051.67","15.3607","429.744"
13,0,"1051.66","15.3585","429.752"
14,0,"1051.66","15.3563","429.752"
15,0,"1051.66","15.3482","429.756"
16,0,"1051.65","15.3359","429.751"
17,0,"1051.66","15.3352","429.745"
18,0,"1051.66","15.327","429.75"
19,0,"1051.65","15.3192","429.746"
20,0,"1051.65","15.3141","429.744"
21,0,"1051.65","15.3178","429.737"
22,0,"1051.65","15.3199","429.728"
23,0,"1051.65","15.3229","429.727"
24,0,"1051.65","15.3197","429.728"
25,0,"1051.65","15.3118","429.728"
26,0,"1051.63","15.2878","429.737"
27,0,"1051.63","15.2773","429.738"
28,0,"1051.61","15.2529","429.74"
29,0,"1051.61","15.2368","429.739"
30,0,"1051.6","15.2232","429.736"
31,0,"1051.6","15.2129","429.729"
32,0,"1051.6","15.2016","429.728"
33,0,"1051.6","15.2008","429.727"
34,0,"1051.59","15.1782","429.727"
35,0,"1051.58","15.1667","429.723"
36,0,"1051.58","15.1596","429.731"
37,0,"1051.57","15.1407","429.743"
38,0,"1051.58","15.1291","429.746"
39,0,"1051.57","15.1219","429.751"
40,0,"1051.56","15.1078","429.749"
41,0,"1051.55","15.0848","429.745"
42,0,"1051.53","15.0637","429.741"
43,0,"1051.52","15.0495","429.732"
44,0,"1051.5","15.0139","429.727"
45,0,"1051.49","14.9888","429.725"
46,0,"1051.48","14.9723","429.726"
47,0,"1051.47","14.9519","429.73"
48,0,"1051.45","14.9363","429.732"
49,0,"1051.44","14.9173","429.735"
50,0,"1051.43","14.8916","429.746"
51,0,"1051.43","14.8753","429.749"
52,0,"1051.43","14.853","429.759"
53,0,"1051.44","14.8304","429.758"
54,0,"1051.43","14.813","429.755"
55,0,"1051.43","14.7974","429.743"
56,0,"1051.43","14.7748","429.756"
57,0,"1051.42","14.7674","429.752"
58,0,"1051.4","14.7573","429.751"
59,0,"1051.39","14.7561","429.752"
60,0,"1051.39","14.7616","429.763"
61,0,"1051.4","14.7629","429.772"
62,0,"1051.39","14.7647","429.783"
63,0,"1051.39","14.7662","429.794"
64,0,"1051.39","14.7722","429.798"
65,0,"1051.39","14.7776","429.793"
66,0,"1051.39","14.7792","429.795"
67,0,"1051.4","14.7872","429.791"
68,0,"1051.4","14.7979","429.79"
69,0,"1051.4","14.815","429.788"
70,0,"1051.39","14.8283","429.792"
71,0,"1051.39","14.853","429.788"
72,0,"1051.4","14.8727","429.78"
73,0,"1051.39","14.8916","429.777"
74,0,"1051.41","14.8981","429.778"
75,0,"1051.41","14.9131","429.778"
76,0,"1051.41","14.9129","429.789"
77,0,"1051.42","14.917","429.797"
78,0,"1051.43","14.9107","429.797"
79,0,"1051.44","14.9035","429.802"
80,0,"1051.44","14.8961","429.795"
81,0,"1051.44","14.8709","429.789"
82,0,"1051.45","14.861","429.781"
83,0,"1051.46","14.8478","429.78"
84,0,"1051.47","14.831","429.771"
85,0,"1051.47","14.8","429.767"
86,0,"1051.47","14.769","429.765"
87,0,"1051.48","14.7393","429.763"
88,0,"1051.49","14.7059","429.765"
89,0,"1051.51","14.6719","429.764"
90,0,"1051.51","14.6108","429.77"
91,0,"1051.52","14.5564","429.774"
92,0,"1051.53","14.4999","429.772"
93,0,"1051.52","14.4317","429.773"
94,0,"1051.54","14.3728","429.777"
95,0,"1051.53","14.3049","429.781"
96,0,"1051.51","14.2344","429.787"
97,0,"1051.51","14.185","429.798"
98,0,"1051.5","14.1312","429.816"
99,0,"1051.48","14.085","429.824"
100,0,"1051.47","14.0584","429.83"
101,0,"1051.46","14.0352","429.845"
102,0,"1051.44","14.0257","429.849"
103,0,"1051.43","14.0172","429.849"
104,0,"1051.42","14.0284","429.849"
105,0,"1051.39","14.0376","429.855"
106,0,"1051.39","14.0532","429.848"
107,0,"1051.38","14.0829","429.841"
108,0,"1051.37","14.1151","429.83"
109,0,"1051.36","14.1252","429.828"
110,0,"1051.34","14.1396","429.833"
111,0,"1051.35","14.1722","429.842"
112,0,"1051.34","14.1663","429.877"
113,0,"1051.33","14.15","429.92"
114,0,"1051.34","14.1049","430.013"
115,0,"1051.4","14.0184","430.16"
116,0,"1051.47","13.9094","430.367"
117,0,"1051.55","13.8231","430.622"
118,0,"1051.59","13.6899","430.89"
119,0,"1051.53","13.4665","431.188"
120,0,"1051.51","13.3218","431.407"
121,0,"1051.54","13.199","431.56"
122,0,"1051.65","13.0766","431.702"
123,0,"1051.8","12.888","431.943"
124,0,"1051.96","12.6199","432.323"
125,0,"1052.12","12.2871","432.823"
126,0,"1052.24","11.9173","433.375"
127,0,"1052.29","11.5613","433.859"
128,0,"1052.38","11.273","434.229"
129,0,"1052.41","10.9747","434.527"
130,0,"1052.46","10.7665","434.725"
131,0,"1052.5","10.5989","434.885"
132,0,"1052.54","10.4656","435.047"
133,0,"1052.53","10.349","435.171"
134,0,"1052.48","10.2546","435.271"
135,0,"1052.41","10.1817","435.352"
136,0,"1052.31","10.1124","435.417"
137,0,"1052.19","10.03","435.474"
138,0,"1052.01","9.91989","435.504"
139,0,"1051.81","9.77559","435.511"
140,0,"1051.61","9.63311","435.485"
141,0,"1051.42","9.48187","435.447"
142,0,"1051.22","9.27715","435.408"
143,0,"1051.03","9.04559","435.398"
144,0,"1050.91","8.8173","435.443"
145,0,"1050.8","8.55263","435.568"
146,0,"1050.73","8.27214","435.743"
