Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (352)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1008.55","22.2785","1300.28"
2,0,"1008.53","22.0422","1300.44"
3,0,"1008.56","22.0028","1300.4"
4,0,"1008.56","21.9433","1300.4"
5,0,"1008.55","21.8948","1300.41"
6,0,"1008.56","21.8385","1300.4"
7,0,"1008.56","21.7713","1300.42"
8,0,"1008.55","21.7429","1300.42"
9,0,"1008.57","21.6857","1300.42"
10,0,"1008.56","21.6203","1300.44"
11,0,"1008.58","21.5691","1300.44"
12,0,"1008.55","21.4946","1300.48"
13,0,"1008.58","21.4715","1300.46"
14,0,"1008.58","21.396","1300.49"
15,0,"1008.58","21.356","1300.51"
16,0,"1008.59","21.3042","1300.52"
17,0,"1008.59","21.2553","1300.52"
18,0,"1008.61","21.2092","1300.52"
19,0,"1008.6","21.1376","1300.54"
20,0,"1008.63","21.3183","1300.36"
21,0,"1008.59","21.0781","1300.55"
22,0,"1008.6","21.0321","1300.57"
23,0,"1008.62","20.9873","1300.57"
24,0,"1008.62","21.1444","1300.44"
25,0,"1008.61","21.0987","1300.47"
26,0,"1008.62","20.8449","1300.65"
27,0,"1008.61","20.7874","1300.68"
28,0,"1008.62","20.9313","1300.53"
29,0,"1008.6","20.6641","1300.71"
30,0,"1008.63","20.8072","1300.54"
31,0,"1008.64","20.7541","1300.54"
32,0,"1008.65","20.4935","1300.71"
33,0,"1008.65","20.4282","1300.72"
34,0,"1008.67","20.5809","1300.56"
35,0,"1008.68","20.5166","1300.57"
36,0,"1008.69","20.4549","1300.59"
37,0,"1008.71","20.3948","1300.6"
38,0,"1008.73","20.3405","1300.61"
39,0,"1008.74","20.1007","1300.78"
40,0,"1008.75","20.2335","1300.65"
41,0,"1008.75","19.9927","1300.82"
42,0,"1008.78","19.9479","1300.82"
43,0,"1008.77","19.9097","1300.83"
44,0,"1008.78","19.8627","1300.84"
45,0,"1008.79","19.8381","1300.84"
46,0,"1008.8","19.7931","1300.88"
47,0,"1008.79","19.7824","1300.89"
48,0,"1008.78","19.7474","1300.93"
49,0,"1008.79","19.7128","1300.96"
50,0,"1008.82","19.7256","1300.94"
51,0,"1008.79","19.7264","1300.97"
52,0,"1008.77","19.7436","1300.98"
53,0,"1008.84","19.7323","1300.95"
54,0,"1008.79","19.7732","1300.96"
55,0,"1008.78","19.7927","1300.95"
56,0,"1008.78","19.8746","1300.89"
57,0,"1008.78","20.0981","1300.73"
58,0,"1008.77","20.1346","1300.72"
59,0,"1008.74","19.9884","1300.88"
60,0,"1008.74","20.0346","1300.88"
61,0,"1008.77","20.0903","1300.85"
62,0,"1008.75","20.1359","1300.85"
63,0,"1008.72","20.1624","1300.89"
64,0,"1008.7","20.2198","1300.9"
65,0,"1008.72","20.4682","1300.74"
66,0,"1008.72","20.532","1300.72"
67,0,"1008.71","20.4032","1300.87"
68,0,"1008.71","20.6669","1300.69"
69,0,"1008.69","20.5449","1300.84"
70,0,"1008.68","20.6322","1300.82"
71,0,"1008.7","20.9131","1300.63"
72,0,"1008.7","21.0105","1300.6"
73,0,"1008.71","21.1152","1300.58"
74,0,"1008.7","21.2025","1300.57"
75,0,"1008.66","21.0995","1300.74"
76,0,"1008.68","21.3839","1300.57"
77,0,"1008.68","21.4915","1300.55"
78,0,"1008.67","21.5969","1300.54"
79,0,"1008.65","21.5106","1300.7"
80,0,"1008.66","21.6199","1300.67"
81,0,"1008.64","21.7475","1300.66"
82,0,"1008.64","21.8659","1300.64"
83,0,"1008.64","21.9654","1300.62"
84,0,"1008.63","22.076","1300.61"
85,0,"1008.64","22.1798","1300.57"
86,0,"1008.61","22.2778","1300.57"
87,0,"1008.61","22.423","1300.53"
88,0,"1008.61","22.5081","1300.53"
89,0,"1008.61","22.6069","1300.5"
90,0,"1008.61","22.6788","1300.5"
91,0,"1008.6","22.7884","1300.49"
92,0,"1008.62","22.8949","1300.45"
93,0,"1008.59","22.9693","1300.47"
94,0,"1008.59","23.0565","1300.46"
95,0,"1008.58","23.16","1300.44"
96,0,"1008.56","23.208","1300.46"
97,0,"1008.55","23.2958","1300.45"
98,0,"1008.55","23.3485","1300.47"
99,0,"1008.57","23.4425","1300.43"
100,0,"1008.57","23.7503","1300.24"
101,0,"1008.55","23.6299","1300.4"
102,0,"1008.54","23.7003","1300.4"
103,0,"1008.54","23.7793","1300.38"
104,0,"1008.56","24.0534","1300.21"
105,0,"1008.53","23.9325","1300.37"
106,0,"1008.51","24.0257","1300.36"
107,0,"1008.5","24.1001","1300.35"
108,0,"1008.48","24.1705","1300.36"
109,0,"1008.46","24.2525","1300.35"
110,0,"1008.47","24.3575","1300.31"
111,0,"1008.44","24.6191","1300.18"
112,0,"1008.4","24.5033","1300.36"
113,0,"1008.33","24.5786","1300.39"
114,0,"1008.31","24.8531","1300.24"
115,0,"1008.25","24.7314","1300.43"
116,0,"1008.18","24.9959","1300.28"
117,0,"1008.11","24.8507","1300.47"
118,0,"1008.05","25.1163","1300.31"
119,0,"1007.96","25.1545","1300.32"
120,0,"1007.88","25.2126","1300.33"
121,0,"1007.79","25.2748","1300.32"
122,0,"1007.68","25.3487","1300.33"
123,0,"1007.54","25.219","1300.52"
124,0,"1007.38","25.3191","1300.52"
125,0,"1007.17","25.3977","1300.54"
126,0,"1006.96","25.5049","1300.53"
127,0,"1006.69","25.5851","1300.55"
128,0,"1006.44","25.7066","1300.52"
129,0,"1006.17","25.7885","1300.51"
130,0,"1005.88","25.8839","1300.46"
131,0,"1005.54","25.9734","1300.42"
132,0,"1005.15","26.0297","1300.4"
133,0,"1004.84","26.127","1300.28"
134,0,"1004.45","26.1983","1300.19"
135,0,"1004.03","26.2464","1300.12"
136,0,"1003.62","26.2913","1300.03"
137,0,"1003.17","26.33","1299.95"
138,0,"1002.77","26.3671","1299.84"
139,0,"1002.35","26.4247","1299.75"
